
INT_316	9	['062.Daphnia.iridovirus.1.proteins', '120.Invertebrate.iridescent.virus.22.proteins', '122.Invertebrate.iridovirus.22.proteins', '121.Invertebrate.iridescent.virus.30.proteins', '123.Invertebrate.iridovirus.25.proteins', '063.Wiseana.iridescent.virus.proteins', '117.Aedes.taeniorhynchus.iridescent.virus.proteins', '064.Aedes.taeniorhynchus.iridescent.virus.proteins', '118.Anopheles.minimus.irodovirus.proteins']
INT_2530	7	['UUJ180725.matabat2bin.85.decontaminated.proteins', 'UUJ170626.matabat2bin.11.proteins', 'UUJ180510.matabat2bin.167.proteins', 'UUJ180410.matabat2bin.352.proteins', 'UUF170621.matabat2bin.9.proteins', 'UUJ180219.matabat2bin.97.proteins', 'UUJ180802.matabat2bin.345.proteins']
INT_586	5	['UUJ170620.matabat2bin.143.proteins', 'UUJ180622.matabat2bin.83.proteins', 'UUJ170630.matabat2bin.40.proteins', 'UUJ170818.matabat2bin.262.proteins', 'UUJ170804.matabat2bin.38.proteins']
INT_785	2	['UUJ180815.matabat2bin.47.proteins', 'UUJ170726.matabat2bin.259.proteins']
UUJ170804.matabat2bin.53.proteins	1	['UUJ170804.matabat2bin.53.proteins']
INT_402	16	['051.Tunisvirus.fontaine2.proteins', '130.Insectomime.virus.proteins', '049.Brazilian.marseillevirus.proteins', '127.Kurlavirus.proteins', '128.Noumeavirus.proteins', '129.Port-miou.virus.proteins', '050.Lausannevirus.proteins', '048.Golden.Marseillevirus.proteins', '052.Tokyovirus.A1.proteins', '054.Melbournevirus.proteins', '125.Cannes.8.virus.proteins', '126.Marseillevirus.Shangai.isolate.1.proteins', '053.Marseillevirus.marseillevirus.strain.T19.proteins', 'UUJ170818.matabat2bin.245.proteins', 'UUJ180827.matabat2bin.429.proteins', 'UUJ170620.matabat2bin.473.proteins']
INT_222	2	['UUJ180629.matabat2bin.36.proteins', 'UUJ171113.matabat2bin.236.proteins']
INT_572	7	['UUJ180510.matabat2bin.332.proteins', 'UUJ171113.matabat2bin.122.proteins', 'UUJ180313.matabat2bin.34.decontaminated.proteins', 'UUJ170105.matabat2bin.355.proteins', 'UUJ180622.matabat2bin.335.decontaminated.proteins', 'UUJ180802.matabat2bin.444.proteins', 'UUJ180313.matabat2bin.81.proteins']
UUJ180622.matabat2bin.281.proteins	1	['UUJ180622.matabat2bin.281.proteins']
INT_1708	3	['UUJ171113.matabat2bin.315.decontaminated.proteins', 'UUJ180313.matabat2bin.10.proteins', 'UUJ170927.matabat2bin.47.proteins']
INT_165	29	['UUJ180622.matabat2bin.44.proteins', 'UUJ170927.matabat2bin.41.proteins', 'UUJ180219.matabat2bin.100.proteins', 'UUJ180725.matabat2bin.12.proteins', 'UUJ170623.matabat2bin.328.proteins', 'UUJ180725.matabat2bin.150.proteins', 'UUJ170523.matabat2bin.155.decontaminated.proteins', 'UUJ180815.matabat2bin.312.proteins', 'UUJ170523.matabat2bin.53.proteins', 'UUJ180809.matabat2bin.141.decontaminated.proteins', 'UUJ170412.matabat2bin.131.proteins', 'UUJ170523.matabat2bin.62.proteins', 'UUJ180510.matabat2bin.37.decontaminated.proteins', 'UUJ180815.matabat2bin.352.proteins', 'UUJ180410.matabat2bin.5.proteins', 'UUJ170523.matabat2bin.348.proteins', 'UUJ180313.matabat2bin.53.proteins', 'UUJ180622.matabat2bin.14.proteins', 'UUJ170927.matabat2bin.183.proteins', 'UUJ180510.matabat2bin.377.proteins', 'UUJ180925.matabat2bin.22.proteins', 'UUJ180802.matabat2bin.13.proteins', 'UUJ170501.matabat2bin.54.proteins', 'UUJ180622.matabat2bin.98.proteins', 'UUJ180725.matabat2bin.329.proteins', 'UUJ180110.matabat2bin.180.proteins', 'UUJ180827.matabat2bin.431.proteins', 'UUJ180903.matabat2bin.452.proteins', 'UUJ180718.matabat2bin.95.proteins']
INT_2309	2	['UUJ171027.matabat2bin.182.proteins', 'UUJ170630.matabat2bin.185.proteins']
INT_2366	2	['UUJ170620.matabat2bin.388.proteins', 'UUJ180718.matabat2bin.313.proteins']
INT_773	4	['UUJ170804.matabat2bin.338.proteins', 'UUJ170620.matabat2bin.468.decontaminated.proteins', 'UUJ180827.matabat2bin.5.proteins', 'UUJ170612.matabat2bin.51.proteins']
019.Hokovirus.HKV1.proteins	1	['019.Hokovirus.HKV1.proteins']
INT_763	5	['UUJ180802.matabat2bin.78.decontaminated.proteins', 'UUJ170726.matabat2bin.130.decontaminated.proteins', 'UUJ170630.matabat2bin.139.proteins', 'UUJ171113.matabat2bin.300.decontaminated.proteins', 'UUJ180629.matabat2bin.86.proteins']
UUJ180528.matabat2bin.84.proteins	1	['UUJ180528.matabat2bin.84.proteins']
INT_94	7	['076.Mythimna.separata.entomopoxvirus.proteins', '075.Amsacta.moorei.entomopoxvirus.proteins', '172.Choristoneura.rosaceana.entomopoxvirus.L.proteins', '171.Choristoneura.biennis.entomopoxvirus.proteins', '170.Adoxophyes.honmai.entomopoxvirus.L.proteins', '077.Anomala.cuprea.entomopoxvirus.proteins', '078.Melanoplus.sanguinipes.entomopoxvirus.proteins']
INT_296	8	['087.Heliothis.virescens.ascovirus.3f.proteins', '088.Heliothis.virescens.ascovirus.3g.proteins', '057.Heliothis.virescens.ascovirus.3e.proteins', '089.Heliothis.virescens.ascovirus.3h.proteins', '090.Heliothis.virescens.ascovirus.3j.proteins', '059.Spodoptera.frugiperda.ascovirus.1a.proteins', '058.Trichoplusia.ni.ascovirus.2c.proteins', '056.Diadromus.pulchellus.ascovirus.4a.proteins']
INT_446	5	['UUJ170412.matabat2bin.86.proteins', 'UUM180827.matabat2bin.334.proteins', 'UUJ170626.matabat2bin.52.proteins', 'UUJ170626.matabat2bin.235.decontaminated.proteins', 'UUJ180903.matabat2bin.22.proteins']
INT_567	2	['UUM180827.matabat2bin.372.proteins', 'UUJ180815.matabat2bin.444.proteins']
UUJ180622.matabat2bin.2.proteins	1	['UUJ180622.matabat2bin.2.proteins']
UUJ170620.matabat2bin.224.decontaminated.proteins	1	['UUJ170620.matabat2bin.224.decontaminated.proteins']
