
UUJ170630_matabat2bin_435_proteins.faa	genome1
065_Cherax_quadricarinatus_iridovirus_proteins.faa	genome2
141_Only_Syngen_Nebraska_virus_5_proteins.faa	genome3
UUJ180622_matabat2bin_277_proteins.faa	genome4
UUJ180815_matabat2bin_454_decontaminated_proteins.faa	genome5
UUJ180313_matabat2bin_250_proteins.faa	genome6
UUJ171113_matabat2bin_245_proteins.faa	genome7
UUJ170523_matabat2bin_290_proteins.faa	genome8
UUJ180809_matabat2bin_37_proteins.faa	genome9
UUJ180802_matabat2bin_370_proteins.faa	genome10
UUJ180925_matabat2bin_47_decontaminated_proteins.faa	genome11
193_Seal_parapoxvirus_proteins.faa	genome12
201_Volepox_virus_proteins.faa	genome13
UUJ180410_matabat2bin_5_proteins.faa	genome14
UUJ170105_matabat2bin_370_proteins.faa	genome15
UUJ180809_matabat2bin_30_proteins.faa	genome16
025_Paramecium_bursaria_Chlorella_virus_1_proteins.faa	genome17
UUJ180510_matabat2bin_148_proteins.faa	genome18
UUJ170927_matabat2bin_180_proteins.faa	genome19
058_Trichoplusia_ni_ascovirus_2c_proteins.faa	genome20
UUJ180802_matabat2bin_168_proteins.faa	genome21
UUJ180802_matabat2bin_197_proteins.faa	genome22
UUJ180313_matabat2bin_195_proteins.faa	genome23
UUJ180410_matabat2bin_74_proteins.faa	genome24
UUJ170804_matabat2bin_400_proteins.faa	genome25
UUJ180815_matabat2bin_23_proteins.faa	genome26
156_Emiliania_huxleyi_virus_88_proteins.faa	genome27
UUF170620_matabat2bin_302_proteins.faa	genome28
UUJ180827_matabat2bin_403_proteins.faa	genome29
UUJ170818_matabat2bin_238_proteins.faa	genome30
034_Paramecium_bursaria_Chlorella_virus_FR483_proteins.faa	genome31
UUJ180903_matabat2bin_110_proteins.faa	genome32
UUJ170306_matabat2bin_308_proteins.faa	genome33
UUJ180410_matabat2bin_26_proteins.faa	genome34
UUJ180802_matabat2bin_68_proteins.faa	genome35
UUF170620_matabat2bin_305_proteins.faa	genome36
UUJ171218_matabat2bin_11_proteins.faa	genome37
UUJ180718_matabat2bin_407_proteins.faa	genome38
UUJ170927_matabat2bin_164_decontaminated_proteins.faa	genome39
UUJ180802_matabat2bin_413_proteins.faa	genome40
044_Cedratvirus_lausannensis_proteins.faa	genome41
UUJ170623_matabat2bin_15_proteins.faa	genome42
135_Acanthamoeba_castellanii_mamavirus_proteins.faa	genome43
UUJ180410_matabat2bin_135_proteins.faa	genome44
UUJ170523_matabat2bin_10_proteins.faa	genome45
179_Ectromelia_virus_proteins.faa	genome46
UUJ170804_matabat2bin_129_proteins.faa	genome47
UUJ180219_matabat2bin_224_proteins.faa	genome48
148_Emiliania_huxleyi_virus_164_proteins.faa	genome49
UUM180827_matabat2bin_338_proteins.faa	genome50
UUJ180815_matabat2bin_310_proteins.faa	genome51
074_Kaumoebavirus_proteins.faa	genome52
UUJ180725_matabat2bin_176_decontaminated_proteins.faa	genome53
UUJ180925_matabat2bin_382_proteins.faa	genome54
UUJ180622_matabat2bin_98_proteins.faa	genome55
131_Yasminevirus_proteins.faa	genome56
UUJ170804_matabat2bin_241_proteins.faa	genome57
203_Yaba-like_disease_virus_proteins.faa	genome58
UUJ171218_matabat2bin_265_decontaminated_proteins.faa	genome59
UUF170620_matabat2bin_310_proteins.faa	genome60
017_Namao_virus_proteins.faa	genome61
UUJ180313_matabat2bin_206_decontaminated_proteins.faa	genome62
UUJ180725_matabat2bin_261_proteins.faa	genome63
UUJ170804_matabat2bin_53_proteins.faa	genome64
052_Tokyovirus_A1_proteins.faa	genome65
UUJ170927_matabat2bin_327_proteins.faa	genome66
UUJ180510_matabat2bin_299_decontaminated_proteins.faa	genome67
UUJ170804_matabat2bin_363_proteins.faa	genome68
UUJ180313_matabat2bin_53_proteins.faa	genome69
UUJ180622_matabat2bin_330_decontaminated_proteins.faa	genome70
UUJ170721_matabat2bin_337_proteins.faa	genome71
115_Tortoise_ranavirus_proteins.faa	genome72
UUJ180815_matabat2bin_108_proteins.faa	genome73
146_Emiliania_huxleyi_virus_145_proteins.faa	genome74
UUJ171110_matabat2bin_235_proteins.faa	genome75
UUJ170306_matabat2bin_238_proteins.faa	genome76
UUJ180925_matabat2bin_165_proteins.faa	genome77
UUJ170726_matabat2bin_167_decontaminated_proteins.faa	genome78
UUJ180827_matabat2bin_367_proteins.faa	genome79
UUJ170501_matabat2bin_267_decontaminated_proteins.faa	genome80
UUJ180802_matabat2bin_182_proteins.faa	genome81
UUJ170523_matabat2bin_219_proteins.faa	genome82
UUJ180622_matabat2bin_389_proteins.faa	genome83
UUJ170412_matabat2bin_314_proteins.faa	genome84
UUJ170412_matabat2bin_186_decontaminated_proteins.faa	genome85
UUJ180925_matabat2bin_296_proteins.faa	genome86
UUJ170105_matabat2bin_12_proteins.faa	genome87
045_Cedratvirus_A11_proteins.faa	genome88
UUJ170630_matabat2bin_332_proteins.faa	genome89
